web-scraper-order,web-scraper-start-url,Flag,Country,IOC,FIFA,ISO
"1571845386-216","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Svalbard and Jan Mayen","","","SJM"
"1571845386-123","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Kyrgyzstan","KGZ","KGZ","KGZ"
"1571845386-227","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Tokelau","","","TKL"
"1571845386-232","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Turkmenistan","TKM","TKM","TKM"
"1571845386-70","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","England","","ENG","[7]"
"1571845386-28","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Bolivia","BOL","BOL","BOL"
"1571845386-133","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Macau[13]","","MAC","MAC"
"1571845386-94","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Guatemala","GUA","GUA","GTM"
"1571845386-80","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","French Guiana","","","GUF"
"1571845386-222","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Tajikistan","TJK","TJK","TJK"
"1571845386-224","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Thailand","THA","THA","THA"
"1571845386-65","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Dominica[6]","DMA","DMA","DMA"
"1571845386-83","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Gabon","GAB","GAB","GAB"
"1571845386-156","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Namibia","NAM","NAM","NAM"
"1571845386-211","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","South Georgia and the South Sandwich Islands","","","SGS"
"1571845386-17","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Azerbaijan","AZE","AZE","AZE"
"1571845386-253","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Zimbabwe","ZIM","ZIM","ZWE"
"1571845386-247","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Vietnam","VIE","VIE","VNM"
"1571845386-6","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","American Samoa[1]","ASA","ASA","ASM"
"1571845386-154","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Mozambique","MOZ","MOZ","MOZ"
"1571845386-136","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Malawi","MAW","MWI","MWI"
"1571845386-104","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Iceland","ISL","ISL","ISL"
"1571845386-22","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Belarus","BLR","BLR","BLR"
"1571845386-89","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Greece","GRE","GRE","GRC"
"1571845386-131","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Lithuania","LTU","LTU","LTU"
"1571845386-132","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Luxembourg","LUX","LUX","LUX"
"1571845386-147","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Micronesia, Federated States of","FSM","","FSM"
"1571845386-78","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Finland","FIN","FIN","FIN"
"1571845386-218","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Sweden","SWE","SWE","SWE"
"1571845386-10","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Antarctica","","","ATA"
"1571845386-235","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Uganda","UGA","UGA","UGA"
"1571845386-209","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Somalia","SOM","SOM","SOM"
"1571845386-81","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","French Polynesia[8]","","TAH","PYF"
"1571845386-57","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Côte d'Ivoire","CIV","CIV","CIV"
"1571845386-111","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Israel","ISR","ISR","ISR"
"1571845386-168","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Northern Mariana Islands","","","MNP"
"1571845386-55","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Cook Islands","COK","COK","COK"
"1571845386-24","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Belize","BIZ","BLZ","BLZ"
"1571845386-219","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Switzerland","SUI","SUI","CHE"
"1571845386-208","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Solomon Islands","SOL","SOL","SLB"
"1571845386-129","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Libya","LBA","LBY","LBY"
"1571845386-39","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Burundi","BDI","BDI","BDI"
"1571845386-51","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Colombia","COL","COL","COL"
"1571845386-21","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Barbados","BAR","BRB","BRB"
"1571845386-171","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Pakistan","PAK","PAK","PAK"
"1571845386-217","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Swaziland","SWZ","SWZ","SWZ"
"1571845386-69","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","El Salvador","ESA","SLV","SLV"
"1571845386-16","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Austria","AUT","AUT","AUT"
"1571845386-206","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Slovakia","SVK","SVK","SVK"
"1571845386-165","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Niue","","","NIU"
"1571845386-75","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Falkland Islands","","","FLK"
"1571845386-59","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Cuba","CUB","CUB","CUB"
"1571845386-250","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Western Sahara","","","ESH"
"1571845386-160","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","New Caledonia","","NCL","NCL"
"1571845386-175","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Papua New Guinea","PNG","PNG","PNG"
"1571845386-128","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Liberia","LBR","LBR","LBR"
"1571845386-102","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Hong Kong[9]","HKG","HKG","HKG"
"1571845386-130","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Liechtenstein","LIE","LIE","LIE"
"1571845386-118","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Kenya","KEN","KEN","KEN"
"1571845386-188","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Saint Barthélemy","","","BLM"
"1571845386-49","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Christmas Island","","","CXR"
"1571845386-64","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Djibouti","DJI","DJI","DJI"
"1571845386-243","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Uzbekistan","UZB","UZB","UZB"
"1571845386-179","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Pitcairn Islands","","","PCN"
"1571845386-107","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Iran","IRI","IRN","IRN"
"1571845386-194","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Saint Vincent and the Grenadines","VIN","VIN","VCT"
"1571845386-178","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Philippines","PHI","PHI","PHL"
"1571845386-173","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Palestinian Authority","PLE","PLE","PSE"
"1571845386-239","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","United States","USA","USA","USA"
"1571845386-161","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","New Zealand","NZL","NZL","NZL"
"1571845386-163","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Niger","NIG","NIG","NER"
"1571845386-231","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Turkey","TUR","TUR","TUR"
"1571845386-246","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Venezuela","VEN","VEN","VEN"
"1571845386-140","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Malta","MLT","MLT","MLT"
"1571845386-74","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Ethiopia","ETH","ETH","ETH"
"1571845386-233","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Turks and Caicos Islands","","TCA","TCA"
"1571845386-228","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Tonga","TGA","TGA","TON"
"1571845386-145","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Mayotte","","","MYT"
"1571845386-61","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Cyprus","CYP","CYP","CYP"
