web-scraper-order,web-scraper-start-url,Flag,Country,IOC,FIFA,ISO
"1571845386-226","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Togo","TOG","TOG","TGO"
"1571845386-91","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Grenada","GRN","GRN","GRD"
"1571845386-191","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Saint Lucia","LCA","LCA","LCA"
"1571845386-177","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Peru","PER","PER","PER"
"1571845386-68","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Egypt","EGY","EGY","EGY"
"1571845386-76","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Faroe Islands","","FRO","FRO"
"1571845386-143","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Mauritania","MTN","MTN","MRT"
"1571845386-48","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","China, People's Republic of[3]","CHN","CHN","CHN"
"1571845386-98","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Guyana","GUY","GUY","GUY"
"1571845386-37","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Bulgaria","BUL","BUL","BGR"
"1571845386-32","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Bouvet Island","","","BVT"
"1571845386-141","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Marshall Islands","MHL","","MHL"
"1571845386-223","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Tanzania","TAN","TAN","TZA"
"1571845386-186","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Russia","RUS","RUS","RUS"
"1571845386-164","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Nigeria","NGR","NGA","NGA"
"1571845386-149","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Monaco","MON","","MCO"
"1571845386-252","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Zambia","ZAM","ZAM","ZMB"
"1571845386-56","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Costa Rica","CRC","CRC","CRI"
"1571845386-42","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Canada","CAN","CAN","CAN"
